Junction,Easting,Northing,Elevation,RiverKM
J_91,425837.23824,4013146.67004,812.00000,91
J_92,425807.92943,4012164.07204,808.77000,92
J_93,425961.48343,4011192.12098,807.75000,93
J_94,426130.73770,4010265.52320,804.50000,94
J_95,426593.30638,4009403.01269,803.88000,95
J_96,427022.78760,4008517.51184,803.74000,96
J_97,427511.51073,4007653.72851,802.11000,97
J_RM61_up,427916.24600,4006982.57759,800.47000,97.8
J_RM61_down,428044.20096,4006713.07193,800.31000,98.1
J_99,428113.51768,4005829.50442,800.11000,99
J_LittleCO_trib,427950.63417,4005736.55862,800.08000,99.2
J_100,427388.91930,4005216.52131,797.46000,100
J_101,426849.94740,4004392.38224,797.29000,101
J_102,426831.49496,4003446.31164,794.92000,102
J_103,427046.94337,4002482.75504,793.67000,103
J_104,426812.81164,4001517.41522,792.31000,104
J_105,426582.32322,4000563.14410,791.72000,105
J_RM66_up,426589.35999,4000072.78069,791.52000,105.5
J_RM66_down,426575.08606,3999776.72149,791.45000,105.8
J_107,426273.16567,3998618.95130,788.76000,107
J_108,425759.38219,3997766.93108,785.77000,108
J_109,425348.99699,3996860.81115,783.64000,109
J_110,425567.33336,3995948.23009,781.88000,110
J_111,424821.71515,3995769.35345,781.55000,111
J_112,424527.44778,3995154.01515,776.97000,112
J_113,423835.07868,3994793.94816,774.72000,113
J_114,423172.63549,3994126.39978,773.46000,114
J_115,422225.24150,3994001.64880,772.49000,115
J_116,421238.21217,3993938.36705,771.13000,116
J_117,421290.19137,3993280.09008,770.55000,117
J_118,421515.75652,3992476.04994,764.62000,118
J_119,420727.37998,3991894.11467,761.52000,119
J_120,419769.78335,3991659.89476,761.09000,120
J_121,419295.60970,3990800.10895,760.95000,121
J_122,418642.85826,3990052.93191,759.23000,122
J_123,418103.43161,3989413.45324,754.68000,123
J_RM76_up,417622.26145,3989287.06281,754.60000,123.5
J_RM76_down,417325.13462,3989285.42150,754.59000,123.8
J_125,416193.06213,3989537.99386,745.05000,125
J_126,415225.35379,3989314.34119,744.03000,126
J_127,414288.02878,3989421.07067,743.11000,127
J_128,413335.51241,3989693.33848,736.41000,128
J_129,412399.62338,3989983.29444,733.41000,129
J_130,411406.77098,3989952.22491,732.37000,130
J_131,410529.51230,3990409.29870,732.17000,131
J_132,409718.59056,3990966.72855,731.96000,132
J_133,408901.14133,3991527.63277,725.25000,133
J_134,408079.20313,3992088.66391,724.09000,134
J_135,407464.73972,3992868.34031,722.45000,135
J_Clear_trib,406661.12372,3993531.37820,720.50000,136.1
J_137,405876.65503,3993962.43478,717.96000,137
J_138,404931.96801,3994275.49246,714.99000,138
J_139,404091.71271,3994811.59946,713.33000,139
J_140,403272.24326,3995361.98271,712.64000,140
J_RM88_up,402345.62493,3995716.17451,712.54000,141
J_RM88_down,402050.28121,3995711.70939,712.49000,141.3
J_Bright_trib,401672.84440,3995411.97522,712.18000,141.8
J_143,400581.40095,3995730.49073,706.96000,143
J_Pipe_trib,399957.93913,3995580.06413,704.87000,143.7
J_145,398761.77278,3995228.83284,699.56000,145
J_146,397861.04033,3995589.86151,699.15000,146
J_147,397101.34032,3996232.21973,695.76000,147
J_148,396123.36182,3996298.13473,695.45000,148
J_149,395266.04859,3995846.84582,694.81000,149
J_150,394384.63013,3995494.66532,692.96000,150
J_Monument_trib,393513.82584,3995502.99748,692.68000,150.9
J_152,392444.47142,3995421.77316,686.81000,152
J_Hermit_trib,391135.47301,3995721.96544,686.04000,153.4
J_154,390572.06994,3995918.70155,682.17000,154
J_155,389813.83278,3996556.14663,682.10000,155
J_156,389310.39061,3997380.14572,681.86000,156
J_157,389045.20467,3998324.29840,678.09000,157
J_158,388685.77915,3999248.58291,678.09000,158
J_Crystal_trib,388002.57340,3999618.98434,678.04000,158.8
J_160,387125.64962,4000405.76180,670.97000,160
J_161,386275.35147,4000827.28027,666.71000,161
J_162,385305.42854,4000615.84986,662.77000,162
J_163,384334.27383,4000818.36750,660.73000,163
J_164,383426.76299,4001215.40997,658.24000,164
J_165,382721.83832,4001904.94484,657.70000,165
J_166,382463.96494,4002840.36164,655.95000,166
J_167,382357.51738,4003827.00190,655.01000,167
J_168,382239.90351,4004817.12502,654.81000,168
J_169,381763.69228,4005676.74958,652.81000,169
J_170,381221.80440,4006500.68639,649.57000,170
J_171,380748.80644,4007376.97452,648.38000,171
J_172,380344.42861,4008286.74499,643.48000,172
J_173,379955.64534,4009199.65244,643.15000,173
J_174,379746.53519,4010170.01205,642.82000,174
J_175,379323.86824,4011052.35825,641.00000,175
